RA,Ano,Fase,fase_num,Fase_Ideal,Defasagem,INDE_ano,IAA,IEG,IPS,IPP,IDA,IPV,IAN,Mat,Por,Ing,Idade,ano_nasc_obs,Gênero,Ano ingresso,Pedra_ano,Instituicao,Pedra20,Pedra21,Pedra22_hist,Pedra23_hist,INDE22_hist,INDE23_hist,Atingiu_PV,Rec_Psicologia,ano_nasc,idade_padronizada,Fase_Ideal_base,Defasagem_base,fase_ideal_num,IDA_original,IPP_origem,_ipp_reconstruido_invalido,_recuperado_algebrico,excluir_tudo,n_feat_modelo,motivo_exclusao_modelo,excluir_modelo
RA-1,2022,7,7,8,-1,5.783,8.3,4.1,5.6,7.974,4.1,7.278,5.0,2.7,3.5,6.0,19.0,2003,Menina,2016,Quartzo,Escola Pública,Ametista,Ametista,Quartzo,,,,Não,Requer avaliação,2003,19,Fase 8 (Universitários),-1,8,4.0,reconstruido_2022,False,,False,5,,False
RA-2,2022,7,7,7,0,7.055,8.8,5.2,6.3,7.894,6.8,6.778,10.0,6.3,4.5,9.7,17.0,2005,Menina,2017,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),0,7,6.8,reconstruido_2022,False,,False,5,,False
RA-3,2022,7,7,7,0,6.591,,7.9,5.6,,5.6,7.556,10.0,5.8,4.0,6.9,17.0,2005,Menina,2016,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Sem limitações,2005,17,Fase 7 (3º EM),0,7,5.6,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-4,2022,7,7,7,0,5.951,8.8,4.5,5.6,5.554,5.0,5.278,10.0,2.8,3.5,8.7,17.0,2005,Menino,2017,Quartzo,Rede Decisão,Ametista,Ametista,Quartzo,,,,Não,Requer avaliação,2005,17,Fase 7 (3º EM),0,7,5.0,reconstruido_2022,False,,False,5,,False
RA-5,2022,7,7,7,0,7.427,7.9,8.6,5.6,8.392,5.2,7.389,10.0,7.0,2.9,5.7,17.0,2005,Menina,2016,Ametista,Rede Decisão,Ametista,Ametista,Ametista,,,,Não,Requer avaliação,2005,17,Fase 7 (3º EM),0,7,5.2,reconstruido_2022,False,,False,5,,False
RA-6,2022,7,7,8,-1,5.848,7.9,4.5,7.5,8.036,3.3,7.222,5.0,2.3,5.3,2.3,18.0,2004,Menina,2021,Quartzo,Escola Pública,,Ágata,Quartzo,,,,Não,Sem limitações,2004,18,Fase 8 (Universitários),-1,8,3.3,reconstruido_2022,False,,False,5,,False
RA-7,2022,7,7,8,-1,6.818,,8.4,7.5,,7.6,7.667,5.0,8.2,5.7,9.0,18.0,2004,Menino,2017,Ágata,Rede Decisão,Ametista,Ametista,Ágata,,,,Não,Sem limitações,2004,18,Fase 8 (Universitários),-1,8,7.6,ausente,False,,False,4,feature_ausente_sem_imputacao,True
RA-8,2022,7,7,8,-1,4.786,7.1,4.6,6.3,4.504,1.6,6.278,5.0,1.2,0.7,2.9,20.0,2002,Menina,2018,Quartzo,Escola Pública,Quartzo,Ágata,Quartzo,,,,Não,Requer avaliação,2002,20,Fase 8 (Universitários),-1,8,1.6,reconstruido_2022,False,,False,5,,False
RA-9,2022,7,7,8,-1,8.109,8.8,9.5,7.5,8.39,6.7,9.5,5.0,5.5,6.0,8.7,18.0,2004,Menina,2019,Topázio,Escola Pública,Ametista,Ametista,Topázio,,,,Sim,Sem limitações,2004,18,Fase 8 (Universitários),-1,8,6.7,reconstruido_2022,False,,False,5,,False
RA-10,2022,7,7,8,-1,5.784,8.3,5.2,5.0,6.828,4.1,7.056,5.0,3.3,2.6,6.4,18.0,2004,Menina,2021,Quartzo,Escola Pública,,Ágata,Quartzo,,,,Não,Requer avaliação,2004,18,Fase 8 (Universitários),-1,8,4.1,reconstruido_2022,False,,False,5,,False
